,Unnamed: 0,Tweet,Sarcasm (yes/no),clean_text
727,727,the workshop are genuinely amazing.,no,workshop genuinely amazing
728,728,"Had a the conference, best experience ever. Not.",yes,conference best experience
729,729,Can't wait for more of vegetarians.,no,cant wait vegetarians
730,730,Had a great time with writers.,no,great time writers
731,731,this book are genuinely amazing.,no,book genuinely amazing
732,732,Had a great time with the game.,no,great time game
733,733,"Had a this book, best experience ever. Not.",yes,book best experience
734,734,Because athletes really make everything better.,yes,athletes really make everything better
735,735,this movie are truly inspiring.,no,movie truly inspiring
736,736,Because this book really make everything better.,yes,book really make everything better
737,737,I genuinely love vegetarians.,no,genuinely love vegetarians
738,738,Had a great time with the game.,no,great time game
739,739,I am always excited for this movie.,no,always excited movie
740,740,I find this book to be wonderful.,no,find book wonderful
741,741,Can't wait for more of the conference.,no,cant wait conference
742,742,Can't wait for more of the workshop.,yes,cant wait workshop
743,743,I am always excited for the game.,no,always excited game
744,744,I just love when scientists happens.,yes,love scientists happens
745,745,writers are genuinely amazing.,no,writers genuinely amazing
746,746,I just love when my new phone happens.,yes,love new phone happens
747,747,this book have always been great.,no,book always great
748,748,Nothing better than a athletes moment.,yes,nothing better athletes moment
749,749,Can't wait for more of the conference.,yes,cant wait conference
750,750,I am always excited for the game.,no,always excited game
751,751,"Everyone loves engineers, right?",yes,everyone loves engineers right
752,752,I am always excited for engineers.,no,always excited engineers
753,753,Can't wait for more of the conference.,yes,cant wait conference
754,754,Because scientists really make everything better.,yes,scientists really make everything better
755,755,Can't wait for more of scientists.,no,cant wait scientists
756,756,athletes are truly inspiring.,no,athletes truly inspiring
757,757,this book are truly inspiring.,no,book truly inspiring
758,758,musicians have always been great.,no,musicians always great
759,759,Because musicians really make everything better.,yes,musicians really make everything better
760,760,Had a great time with the workshop.,no,great time workshop
761,761,"writers are so wonderful, said no one ever.",yes,writers wonderful said one
762,762,Nothing better than a this book moment.,yes,nothing better book moment
763,763,the meal are truly inspiring.,no,meal truly inspiring
764,764,athletes have always been great.,no,athletes always great
765,765,I find engineers to be wonderful.,no,find engineers wonderful
766,766,"Oh great, another this movie. Just what I needed.",yes,oh great another movie needed
767,767,the workshop are genuinely amazing.,no,workshop genuinely amazing
768,768,Nothing better than a doctors moment.,yes,nothing better doctors moment
769,769,I just love when athletes happens.,yes,love athletes happens
770,770,Can't wait for more of the meal.,no,cant wait meal
771,771,"Had a this movie, best experience ever. Not.",yes,movie best experience
772,772,Nothing better than a scientists moment.,yes,nothing better scientists moment
773,773,I just love when scientists happens.,yes,love scientists happens
774,774,Can't wait for more of scientists.,yes,cant wait scientists
775,775,"Everyone loves the meal, right?",yes,everyone loves meal right
776,776,Can't wait for more of the game.,no,cant wait game
777,777,I genuinely love musicians.,no,genuinely love musicians
778,778,vegetarians are truly inspiring.,no,vegetarians truly inspiring
779,779,Had a great time with the workshop.,no,great time workshop
780,780,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
781,781,"Oh great, another this movie. Just what I needed.",yes,oh great another movie needed
782,782,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
783,783,my new phone are truly inspiring.,no,new phone truly inspiring
784,784,"Oh great, another scientists. Just what I needed.",yes,oh great another scientists needed
785,785,Had a great time with artists.,no,great time artists
786,786,the game are truly inspiring.,no,game truly inspiring
787,787,I genuinely love engineers.,no,genuinely love engineers
788,788,"Everyone loves the concert, right?",yes,everyone loves concert right
789,789,the workshop are truly inspiring.,no,workshop truly inspiring
790,790,"the game are so wonderful, said no one ever.",yes,game wonderful said one
791,791,Can't wait for more of vegetarians.,no,cant wait vegetarians
792,792,I am always excited for writers.,no,always excited writers
793,793,"Had a doctors, best experience ever. Not.",yes,doctors best experience
794,794,this book are truly inspiring.,no,book truly inspiring
795,795,Had a great time with the meal.,no,great time meal
796,796,Nothing better than a the meal moment.,yes,nothing better meal moment
797,797,Because musicians really make everything better.,yes,musicians really make everything better
798,798,the meal are genuinely amazing.,no,meal genuinely amazing
799,799,"athletes are so wonderful, said no one ever.",yes,athletes wonderful said one
800,800,I just love when doctors happens.,yes,love doctors happens
801,801,this book are genuinely amazing.,no,book genuinely amazing
802,802,Can't wait for more of artists.,yes,cant wait artists
803,803,Because the game really make everything better.,yes,game really make everything better
804,804,Because artists really make everything better.,yes,artists really make everything better
805,805,Because vegetarians really make everything better.,yes,vegetarians really make everything better
806,806,"Oh great, another doctors. Just what I needed.",yes,oh great another doctors needed
807,807,I find engineers to be wonderful.,no,find engineers wonderful
808,808,musicians are genuinely amazing.,no,musicians genuinely amazing
809,809,the game are truly inspiring.,no,game truly inspiring
810,810,I genuinely love this book.,no,genuinely love book
811,811,the conference are truly inspiring.,no,conference truly inspiring
812,812,I am always excited for this book.,no,always excited book
813,813,scientists are truly inspiring.,no,scientists truly inspiring
814,814,the workshop are truly inspiring.,no,workshop truly inspiring
815,815,athletes are genuinely amazing.,no,athletes genuinely amazing
816,816,Because the conference really make everything better.,yes,conference really make everything better
817,817,I genuinely love athletes.,no,genuinely love athletes
818,818,Nothing better than a this book moment.,yes,nothing better book moment
819,819,Had a great time with vegetarians.,no,great time vegetarians
820,820,I just love when engineers happens.,yes,love engineers happens
821,821,I just love when engineers happens.,yes,love engineers happens
822,822,Because engineers really make everything better.,yes,engineers really make everything better
823,823,I genuinely love the concert.,no,genuinely love concert
824,824,I find athletes to be wonderful.,no,find athletes wonderful
825,825,I am always excited for this movie.,no,always excited movie
826,826,Had a great time with this movie.,no,great time movie
827,827,"Had a athletes, best experience ever. Not.",yes,athletes best experience
828,828,the workshop are genuinely amazing.,no,workshop genuinely amazing
829,829,I just love when artists happens.,yes,love artists happens
830,830,I genuinely love musicians.,no,genuinely love musicians
831,831,Can't wait for more of engineers.,no,cant wait engineers
832,832,"Everyone loves doctors, right?",yes,everyone loves doctors right
833,833,Nothing better than a the meal moment.,yes,nothing better meal moment
834,834,Can't wait for more of the workshop.,yes,cant wait workshop
835,835,"Everyone loves the game, right?",yes,everyone loves game right
836,836,I am always excited for writers.,no,always excited writers
837,837,"my new phone are so wonderful, said no one ever.",yes,new phone wonderful said one
838,838,"Everyone loves the game, right?",yes,everyone loves game right
839,839,"Had a the game, best experience ever. Not.",yes,game best experience
840,840,"Everyone loves vegetarians, right?",yes,everyone loves vegetarians right
841,841,"Had a writers, best experience ever. Not.",yes,writers best experience
842,842,I genuinely love the game.,no,genuinely love game
843,843,Can't wait for more of the conference.,yes,cant wait conference
844,844,"Had a the game, best experience ever. Not.",yes,game best experience
845,845,I genuinely love the concert.,no,genuinely love concert
846,846,I genuinely love this book.,no,genuinely love book
847,847,"Had a the meal, best experience ever. Not.",yes,meal best experience
848,848,I genuinely love writers.,no,genuinely love writers
849,849,Because artists really make everything better.,yes,artists really make everything better
850,850,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
851,851,"Had a vegetarians, best experience ever. Not.",yes,vegetarians best experience
852,852,Had a great time with scientists.,no,great time scientists
853,853,this book are genuinely amazing.,no,book genuinely amazing
854,854,I just love when musicians happens.,yes,love musicians happens
855,855,"Oh great, another the game. Just what I needed.",yes,oh great another game needed
856,856,vegetarians are truly inspiring.,no,vegetarians truly inspiring
857,857,I find the conference to be wonderful.,no,find conference wonderful
858,858,"the meal are so wonderful, said no one ever.",yes,meal wonderful said one
859,859,my new phone are genuinely amazing.,no,new phone genuinely amazing
860,860,Can't wait for more of the concert.,no,cant wait concert
861,861,"doctors are so wonderful, said no one ever.",yes,doctors wonderful said one
862,862,Because the meal really make everything better.,yes,meal really make everything better
863,863,"Everyone loves athletes, right?",yes,everyone loves athletes right
864,864,I just love when scientists happens.,yes,love scientists happens
865,865,Can't wait for more of this book.,no,cant wait book
866,866,I genuinely love the game.,no,genuinely love game
867,867,"Everyone loves writers, right?",yes,everyone loves writers right
868,868,Had a great time with this movie.,no,great time movie
869,869,I just love when athletes happens.,yes,love athletes happens
870,870,I just love when this movie happens.,yes,love movie happens
871,871,"Had a this movie, best experience ever. Not.",yes,movie best experience
872,872,I just love when the meal happens.,yes,love meal happens
873,873,"Had a this book, best experience ever. Not.",yes,book best experience
874,874,the meal are genuinely amazing.,no,meal genuinely amazing
875,875,Can't wait for more of the concert.,no,cant wait concert
876,876,I genuinely love musicians.,no,genuinely love musicians
877,877,I am always excited for the game.,no,always excited game
878,878,I just love when doctors happens.,yes,love doctors happens
879,879,Had a great time with the game.,no,great time game
880,880,"Everyone loves the concert, right?",yes,everyone loves concert right
881,881,I find the game to be wonderful.,no,find game wonderful
882,882,Can't wait for more of the concert.,yes,cant wait concert
883,883,Nothing better than a the concert moment.,yes,nothing better concert moment
884,884,Can't wait for more of the workshop.,no,cant wait workshop
885,885,"Everyone loves this movie, right?",yes,everyone loves movie right
886,886,I find the conference to be wonderful.,no,find conference wonderful
887,887,artists are truly inspiring.,no,artists truly inspiring
888,888,Had a great time with musicians.,no,great time musicians
889,889,scientists are truly inspiring.,no,scientists truly inspiring
890,890,"Had a athletes, best experience ever. Not.",yes,athletes best experience
891,891,I just love when this movie happens.,yes,love movie happens
892,892,musicians are genuinely amazing.,no,musicians genuinely amazing
893,893,I just love when athletes happens.,yes,love athletes happens
894,894,Nothing better than a the meal moment.,yes,nothing better meal moment
895,895,I am always excited for this movie.,no,always excited movie
896,896,"Everyone loves writers, right?",yes,everyone loves writers right
897,897,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
898,898,scientists have always been great.,no,scientists always great
899,899,Can't wait for more of this book.,yes,cant wait book
900,900,vegetarians have always been great.,no,vegetarians always great
901,901,I just love when writers happens.,yes,love writers happens
902,902,the game are genuinely amazing.,no,game genuinely amazing
903,903,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
904,904,I find this movie to be wonderful.,no,find movie wonderful
905,905,Can't wait for more of this book.,yes,cant wait book
906,906,Had a great time with this movie.,no,great time movie
907,907,Can't wait for more of musicians.,yes,cant wait musicians
908,908,artists are genuinely amazing.,no,artists genuinely amazing
909,909,"the workshop are so wonderful, said no one ever.",yes,workshop wonderful said one
910,910,Had a great time with musicians.,no,great time musicians
911,911,I genuinely love scientists.,no,genuinely love scientists
912,912,I am always excited for this movie.,no,always excited movie
913,913,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
914,914,"athletes are so wonderful, said no one ever.",yes,athletes wonderful said one
915,915,I genuinely love artists.,no,genuinely love artists
916,916,I genuinely love the workshop.,no,genuinely love workshop
917,917,"Had a writers, best experience ever. Not.",yes,writers best experience
918,918,"Had a athletes, best experience ever. Not.",yes,athletes best experience
919,919,this movie have always been great.,no,movie always great
920,920,Because scientists really make everything better.,yes,scientists really make everything better
921,921,Had a great time with artists.,no,great time artists
922,922,I am always excited for athletes.,no,always excited athletes
923,923,writers are truly inspiring.,no,writers truly inspiring
924,924,musicians are truly inspiring.,no,musicians truly inspiring
925,925,Can't wait for more of athletes.,yes,cant wait athletes
926,926,Nothing better than a the workshop moment.,yes,nothing better workshop moment
927,927,Can't wait for more of vegetarians.,no,cant wait vegetarians
928,928,my new phone are truly inspiring.,no,new phone truly inspiring
929,929,Had a great time with engineers.,no,great time engineers
930,930,Can't wait for more of vegetarians.,yes,cant wait vegetarians
931,931,"Had a scientists, best experience ever. Not.",yes,scientists best experience
932,932,"Everyone loves engineers, right?",yes,everyone loves engineers right
933,933,musicians have always been great.,no,musicians always great
934,934,artists are genuinely amazing.,no,artists genuinely amazing
935,935,I just love when engineers happens.,yes,love engineers happens
936,936,writers are truly inspiring.,no,writers truly inspiring
937,937,the workshop have always been great.,no,workshop always great
938,938,Can't wait for more of vegetarians.,no,cant wait vegetarians
939,939,I just love when vegetarians happens.,yes,love vegetarians happens
940,940,the workshop are genuinely amazing.,no,workshop genuinely amazing
941,941,athletes have always been great.,no,athletes always great
942,942,I just love when the conference happens.,yes,love conference happens
943,943,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
944,944,Had a great time with scientists.,no,great time scientists
945,945,I genuinely love this movie.,no,genuinely love movie
946,946,Nothing better than a the meal moment.,yes,nothing better meal moment
947,947,Because the game really make everything better.,yes,game really make everything better
948,948,Had a great time with the concert.,no,great time concert
949,949,Because this book really make everything better.,yes,book really make everything better
950,950,"Everyone loves doctors, right?",yes,everyone loves doctors right
951,951,"the concert are so wonderful, said no one ever.",yes,concert wonderful said one
952,952,the game are genuinely amazing.,no,game genuinely amazing
953,953,"engineers are so wonderful, said no one ever.",yes,engineers wonderful said one
954,954,Because artists really make everything better.,yes,artists really make everything better
955,955,I find musicians to be wonderful.,no,find musicians wonderful
956,956,I genuinely love my new phone.,no,genuinely love new phone
957,957,Can't wait for more of the workshop.,no,cant wait workshop
958,958,"Everyone loves athletes, right?",yes,everyone loves athletes right
959,959,I find the workshop to be wonderful.,no,find workshop wonderful
960,960,"Oh great, another scientists. Just what I needed.",yes,oh great another scientists needed
961,961,I just love when athletes happens.,yes,love athletes happens
962,962,"Everyone loves the concert, right?",yes,everyone loves concert right
963,963,Because doctors really make everything better.,yes,doctors really make everything better
964,964,Because scientists really make everything better.,yes,scientists really make everything better
965,965,"Had a musicians, best experience ever. Not.",yes,musicians best experience
966,966,"Everyone loves the meal, right?",yes,everyone loves meal right
967,967,I am always excited for the meal.,no,always excited meal
968,968,I genuinely love the conference.,no,genuinely love conference
969,969,Can't wait for more of the meal.,yes,cant wait meal
970,970,Nothing better than a writers moment.,yes,nothing better writers moment
971,971,"Oh great, another the meal. Just what I needed.",yes,oh great another meal needed
972,972,"Oh great, another the meal. Just what I needed.",yes,oh great another meal needed
973,973,Can't wait for more of the concert.,no,cant wait concert
974,974,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
975,975,artists are truly inspiring.,no,artists truly inspiring
976,976,Can't wait for more of doctors.,no,cant wait doctors
977,977,"Everyone loves scientists, right?",yes,everyone loves scientists right
978,978,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
979,979,musicians have always been great.,no,musicians always great
980,980,Nothing better than a this movie moment.,yes,nothing better movie moment
981,981,scientists are genuinely amazing.,no,scientists genuinely amazing
982,982,Can't wait for more of musicians.,yes,cant wait musicians
983,983,Nothing better than a this book moment.,yes,nothing better book moment
984,984,"Everyone loves writers, right?",yes,everyone loves writers right
985,985,the concert are truly inspiring.,no,concert truly inspiring
986,986,I genuinely love the game.,no,genuinely love game
987,987,Can't wait for more of engineers.,yes,cant wait engineers
988,988,Had a great time with the game.,no,great time game
989,989,Had a great time with this book.,no,great time book
990,990,Nothing better than a musicians moment.,yes,nothing better musicians moment
991,991,"Had a scientists, best experience ever. Not.",yes,scientists best experience
992,992,"Had a this movie, best experience ever. Not.",yes,movie best experience
993,993,"doctors are so wonderful, said no one ever.",yes,doctors wonderful said one
994,994,I am always excited for doctors.,no,always excited doctors
995,995,athletes have always been great.,no,athletes always great
996,996,"Had a the conference, best experience ever. Not.",yes,conference best experience
997,997,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
998,998,Can't wait for more of the meal.,yes,cant wait meal
999,999,I find the workshop to be wonderful.,no,find workshop wonderful
1000,1000,Because engineers really make everything better.,yes,engineers really make everything better
1001,1001,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
1002,1002,Had a great time with engineers.,no,great time engineers
1003,1003,I genuinely love the conference.,no,genuinely love conference
1004,1004,Can't wait for more of writers.,yes,cant wait writers
1005,1005,I just love when scientists happens.,yes,love scientists happens
1006,1006,"Everyone loves the meal, right?",yes,everyone loves meal right
1007,1007,"Everyone loves the game, right?",yes,everyone loves game right
1008,1008,"athletes are so wonderful, said no one ever.",yes,athletes wonderful said one
1009,1009,"this book are so wonderful, said no one ever.",yes,book wonderful said one
1010,1010,Nothing better than a this book moment.,yes,nothing better book moment
1011,1011,"Oh great, another the conference. Just what I needed.",yes,oh great another conference needed
1012,1012,"my new phone are so wonderful, said no one ever.",yes,new phone wonderful said one
1013,1013,Can't wait for more of the meal.,yes,cant wait meal
1014,1014,Nothing better than a this movie moment.,yes,nothing better movie moment
1015,1015,"the meal are so wonderful, said no one ever.",yes,meal wonderful said one
1016,1016,Can't wait for more of this movie.,no,cant wait movie
1017,1017,I genuinely love the meal.,no,genuinely love meal
1018,1018,I genuinely love vegetarians.,no,genuinely love vegetarians
1019,1019,Can't wait for more of vegetarians.,yes,cant wait vegetarians
1020,1020,"Had a the conference, best experience ever. Not.",yes,conference best experience
1021,1021,"Had a writers, best experience ever. Not.",yes,writers best experience
1022,1022,Had a great time with musicians.,no,great time musicians
1023,1023,Because the workshop really make everything better.,yes,workshop really make everything better
1024,1024,"this book are so wonderful, said no one ever.",yes,book wonderful said one
1025,1025,Can't wait for more of this movie.,no,cant wait movie
1026,1026,Had a great time with scientists.,no,great time scientists
1027,1027,doctors have always been great.,no,doctors always great
1028,1028,"artists are so wonderful, said no one ever.",yes,artists wonderful said one
1029,1029,"Everyone loves the conference, right?",yes,everyone loves conference right
1030,1030,doctors are truly inspiring.,no,doctors truly inspiring
1031,1031,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
1032,1032,Because engineers really make everything better.,yes,engineers really make everything better
1033,1033,artists are genuinely amazing.,no,artists genuinely amazing
1034,1034,Can't wait for more of musicians.,no,cant wait musicians
1035,1035,Because this movie really make everything better.,yes,movie really make everything better
1036,1036,I just love when artists happens.,yes,love artists happens
1037,1037,"Had a the concert, best experience ever. Not.",yes,concert best experience
1038,1038,Can't wait for more of writers.,yes,cant wait writers
1039,1039,Because my new phone really make everything better.,yes,new phone really make everything better
1040,1040,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
1041,1041,"Everyone loves musicians, right?",yes,everyone loves musicians right
1042,1042,I just love when the conference happens.,yes,love conference happens
1043,1043,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
1044,1044,musicians are truly inspiring.,no,musicians truly inspiring
1045,1045,Nothing better than a athletes moment.,yes,nothing better athletes moment
1046,1046,artists are genuinely amazing.,no,artists genuinely amazing
1047,1047,I just love when scientists happens.,yes,love scientists happens
1048,1048,the meal have always been great.,no,meal always great
1049,1049,I find vegetarians to be wonderful.,no,find vegetarians wonderful
1050,1050,"the game are so wonderful, said no one ever.",yes,game wonderful said one
1051,1051,I just love when my new phone happens.,yes,love new phone happens
1052,1052,"Oh great, another the concert. Just what I needed.",yes,oh great another concert needed
1053,1053,Can't wait for more of the meal.,yes,cant wait meal
1054,1054,"Had a the meal, best experience ever. Not.",yes,meal best experience
1055,1055,writers have always been great.,no,writers always great
1056,1056,"this book are so wonderful, said no one ever.",yes,book wonderful said one
1057,1057,this book are truly inspiring.,no,book truly inspiring
1058,1058,I am always excited for scientists.,no,always excited scientists
1059,1059,I find the concert to be wonderful.,no,find concert wonderful
1060,1060,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
1061,1061,I genuinely love my new phone.,no,genuinely love new phone
1062,1062,Nothing better than a the workshop moment.,yes,nothing better workshop moment
1063,1063,I just love when vegetarians happens.,yes,love vegetarians happens
1064,1064,Because this movie really make everything better.,yes,movie really make everything better
1065,1065,"my new phone are so wonderful, said no one ever.",yes,new phone wonderful said one
1066,1066,vegetarians are truly inspiring.,no,vegetarians truly inspiring
1067,1067,Had a great time with the concert.,no,great time concert
1068,1068,doctors are truly inspiring.,no,doctors truly inspiring
1069,1069,I find engineers to be wonderful.,no,find engineers wonderful
1070,1070,"Oh great, another doctors. Just what I needed.",yes,oh great another doctors needed
1071,1071,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
1072,1072,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
1073,1073,Nothing better than a the meal moment.,yes,nothing better meal moment
1074,1074,Because artists really make everything better.,yes,artists really make everything better
1075,1075,musicians are genuinely amazing.,no,musicians genuinely amazing
1076,1076,Had a great time with doctors.,no,great time doctors
1077,1077,Can't wait for more of musicians.,no,cant wait musicians
1078,1078,this movie are genuinely amazing.,no,movie genuinely amazing
1079,1079,I just love when the conference happens.,yes,love conference happens
1080,1080,I just love when the workshop happens.,yes,love workshop happens
1081,1081,"Everyone loves musicians, right?",yes,everyone loves musicians right
1082,1082,I am always excited for this book.,no,always excited book
1083,1083,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
1084,1084,the workshop are genuinely amazing.,no,workshop genuinely amazing
1085,1085,"my new phone are so wonderful, said no one ever.",yes,new phone wonderful said one
1086,1086,writers are genuinely amazing.,no,writers genuinely amazing
1087,1087,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
1088,1088,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
1089,1089,Can't wait for more of the meal.,yes,cant wait meal
1090,1090,Had a great time with the conference.,no,great time conference
1091,1091,"Had a the game, best experience ever. Not.",yes,game best experience
1092,1092,I genuinely love the concert.,no,genuinely love concert
1093,1093,I am always excited for the meal.,no,always excited meal
1094,1094,Because my new phone really make everything better.,yes,new phone really make everything better
1095,1095,this movie have always been great.,no,movie always great
1096,1096,I just love when the concert happens.,yes,love concert happens
1097,1097,Because the concert really make everything better.,yes,concert really make everything better
1098,1098,I genuinely love engineers.,no,genuinely love engineers
1099,1099,"my new phone are so wonderful, said no one ever.",yes,new phone wonderful said one
1100,1100,Had a great time with athletes.,no,great time athletes
1101,1101,I genuinely love the meal.,no,genuinely love meal
1102,1102,I genuinely love the concert.,no,genuinely love concert
1103,1103,I am always excited for doctors.,no,always excited doctors
1104,1104,"Had a this book, best experience ever. Not.",yes,book best experience
1105,1105,Can't wait for more of musicians.,no,cant wait musicians
1106,1106,"Everyone loves the meal, right?",yes,everyone loves meal right
1107,1107,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
1108,1108,this movie are truly inspiring.,no,movie truly inspiring
1109,1109,Can't wait for more of the game.,no,cant wait game
1110,1110,Can't wait for more of this movie.,yes,cant wait movie
1111,1111,the game have always been great.,no,game always great
1112,1112,Nothing better than a scientists moment.,yes,nothing better scientists moment
1113,1113,Had a great time with engineers.,no,great time engineers
1114,1114,I just love when engineers happens.,yes,love engineers happens
1115,1115,Nothing better than a the concert moment.,yes,nothing better concert moment
1116,1116,"Everyone loves the concert, right?",yes,everyone loves concert right
1117,1117,"Everyone loves artists, right?",yes,everyone loves artists right
1118,1118,Can't wait for more of artists.,yes,cant wait artists
1119,1119,Can't wait for more of the meal.,no,cant wait meal
1120,1120,"Had a the meal, best experience ever. Not.",yes,meal best experience
1121,1121,I find my new phone to be wonderful.,no,find new phone wonderful
1122,1122,Can't wait for more of vegetarians.,no,cant wait vegetarians
1123,1123,I genuinely love artists.,no,genuinely love artists
1124,1124,"Had a engineers, best experience ever. Not.",yes,engineers best experience
1125,1125,I just love when artists happens.,yes,love artists happens
1126,1126,Because this movie really make everything better.,yes,movie really make everything better
1127,1127,"the meal are so wonderful, said no one ever.",yes,meal wonderful said one
1128,1128,engineers have always been great.,no,engineers always great
1129,1129,Can't wait for more of athletes.,yes,cant wait athletes
1130,1130,Can't wait for more of vegetarians.,yes,cant wait vegetarians
1131,1131,I genuinely love vegetarians.,no,genuinely love vegetarians
1132,1132,artists are genuinely amazing.,no,artists genuinely amazing
1133,1133,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
1134,1134,Can't wait for more of vegetarians.,yes,cant wait vegetarians
1135,1135,I genuinely love writers.,no,genuinely love writers
1136,1136,"Oh great, another my new phone. Just what I needed.",yes,oh great another new phone needed
1137,1137,I find the concert to be wonderful.,no,find concert wonderful
1138,1138,I find the workshop to be wonderful.,no,find workshop wonderful
1139,1139,engineers are genuinely amazing.,no,engineers genuinely amazing
1140,1140,athletes are genuinely amazing.,no,athletes genuinely amazing
1141,1141,the meal have always been great.,no,meal always great
1142,1142,I am always excited for scientists.,no,always excited scientists
1143,1143,I am always excited for doctors.,no,always excited doctors
1144,1144,Nothing better than a my new phone moment.,yes,nothing better new phone moment
1145,1145,the conference are genuinely amazing.,no,conference genuinely amazing
1146,1146,"Oh great, another vegetarians. Just what I needed.",yes,oh great another vegetarians needed
1147,1147,Can't wait for more of my new phone.,no,cant wait new phone
1148,1148,Can't wait for more of scientists.,no,cant wait scientists
1149,1149,I am always excited for the conference.,no,always excited conference
1150,1150,"this movie are so wonderful, said no one ever.",yes,movie wonderful said one
1151,1151,I genuinely love doctors.,no,genuinely love doctors
1152,1152,"Had a engineers, best experience ever. Not.",yes,engineers best experience
1153,1153,Because the meal really make everything better.,yes,meal really make everything better
1154,1154,Can't wait for more of doctors.,no,cant wait doctors
1155,1155,"Oh great, another vegetarians. Just what I needed.",yes,oh great another vegetarians needed
1156,1156,I just love when writers happens.,yes,love writers happens
1157,1157,"Had a doctors, best experience ever. Not.",yes,doctors best experience
1158,1158,"Oh great, another the workshop. Just what I needed.",yes,oh great another workshop needed
1159,1159,"Everyone loves artists, right?",yes,everyone loves artists right
1160,1160,"the workshop are so wonderful, said no one ever.",yes,workshop wonderful said one
1161,1161,Can't wait for more of this book.,yes,cant wait book
1162,1162,scientists are genuinely amazing.,no,scientists genuinely amazing
1163,1163,Had a great time with this book.,no,great time book
1164,1164,the meal have always been great.,no,meal always great
1165,1165,Because the workshop really make everything better.,yes,workshop really make everything better
1166,1166,Can't wait for more of artists.,yes,cant wait artists
1167,1167,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
1168,1168,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
1169,1169,"Had a the meal, best experience ever. Not.",yes,meal best experience
1170,1170,Can't wait for more of this book.,no,cant wait book
1171,1171,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
1172,1172,I am always excited for athletes.,no,always excited athletes
1173,1173,I just love when writers happens.,yes,love writers happens
1174,1174,I find doctors to be wonderful.,no,find doctors wonderful
1175,1175,Because writers really make everything better.,yes,writers really make everything better
1176,1176,"Had a this book, best experience ever. Not.",yes,book best experience
1177,1177,"the concert are so wonderful, said no one ever.",yes,concert wonderful said one
1178,1178,"Had a vegetarians, best experience ever. Not.",yes,vegetarians best experience
1179,1179,artists have always been great.,no,artists always great
1180,1180,Nothing better than a my new phone moment.,yes,nothing better new phone moment
1181,1181,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
1182,1182,Nothing better than a the conference moment.,yes,nothing better conference moment
1183,1183,"Everyone loves the meal, right?",yes,everyone loves meal right
1184,1184,Can't wait for more of writers.,no,cant wait writers
1185,1185,artists have always been great.,no,artists always great
1186,1186,"Everyone loves the workshop, right?",yes,everyone loves workshop right
1187,1187,I am always excited for this movie.,no,always excited movie
1188,1188,I genuinely love athletes.,no,genuinely love athletes
1189,1189,I am always excited for scientists.,no,always excited scientists
1190,1190,Can't wait for more of artists.,yes,cant wait artists
1191,1191,I just love when vegetarians happens.,yes,love vegetarians happens
1192,1192,"Oh great, another the meal. Just what I needed.",yes,oh great another meal needed
1193,1193,"Everyone loves the concert, right?",yes,everyone loves concert right
1194,1194,"Had a my new phone, best experience ever. Not.",yes,new phone best experience
1195,1195,"scientists are so wonderful, said no one ever.",yes,scientists wonderful said one
1196,1196,"Everyone loves the concert, right?",yes,everyone loves concert right
1197,1197,I genuinely love the conference.,no,genuinely love conference
1198,1198,"Everyone loves scientists, right?",yes,everyone loves scientists right
1199,1199,engineers are truly inspiring.,no,engineers truly inspiring
1200,1200,"engineers are so wonderful, said no one ever.",yes,engineers wonderful said one
1201,1201,"Had a vegetarians, best experience ever. Not.",yes,vegetarians best experience
1202,1202,"scientists are so wonderful, said no one ever.",yes,scientists wonderful said one
1203,1203,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
1204,1204,artists are genuinely amazing.,no,artists genuinely amazing
1205,1205,I genuinely love artists.,no,genuinely love artists
1206,1206,the concert are truly inspiring.,no,concert truly inspiring
1207,1207,Had a great time with this book.,no,great time book
1208,1208,Nothing better than a the conference moment.,yes,nothing better conference moment
